"PartitionKey,""RowKey"",""Date"",""Day7"""
NXT,2519452709981482577,03.03.2016 18:30:01,-5.40
NXT,2519452727975771621,03.03.2016 18:00:02,-5.74
NXT,2519452745980260274,03.03.2016 17:30:01,-4.93
NXT,2519452763974727990,03.03.2016 17:00:02,-5.18
NXT,2519452781981306048,03.03.2016 16:30:01,-6.82
NXT,2519452799974076530,03.03.2016 16:00:02,-6.71
NXT,2519452817983135486,03.03.2016 15:30:01,-5.27
NXT,2519452835973231589,03.03.2016 15:00:02,-6.51
NXT,2519452853982709995,03.03.2016 14:30:01,-5.52
NXT,2519452871973762535,03.03.2016 14:00:02,-5.64
NXT,2519452889984520200,03.03.2016 13:30:01,-5.91
NXT,2519452907973538721,03.03.2016 13:00:02,-5.98
NXT,2519452925984287905,03.03.2016 12:30:01,-6.94
NXT,2519452943977206040,03.03.2016 12:00:02,-5.32
NXT,2519452961984300385,03.03.2016 11:30:01,-5.25
NXT,2519452979975586130,03.03.2016 11:00:02,-6.94
NXT,2519452997983881747,03.03.2016 10:30:01,-7.07
NXT,2519453015978045250,03.03.2016 10:00:02,-6.02
NXT,2519453033983940605,03.03.2016 09:30:01,-5.90
NXT,2519453051975786074,03.03.2016 09:00:02,-5.78
NXT,2519453069984220358,03.03.2016 08:30:01,-5.93
NXT,2519453087973707405,03.03.2016 08:00:02,-6.71
NXT,2519453105985455909,03.03.2016 07:30:01,-7.50
NXT,2519453123977872779,03.03.2016 07:00:02,-8.16
NXT,2519453141984671608,03.03.2016 06:30:01,-8.63
NXT,2519453159978396612,03.03.2016 06:00:02,-9.86
NXT,2519453177986367697,03.03.2016 05:30:01,-10.13
NXT,2519453195980134792,03.03.2016 05:00:01,-10.74
NXT,2519453213986037019,03.03.2016 04:30:01,-10.42
NXT,2519453231979001510,03.03.2016 04:00:02,-12.51
NXT,2519453249988592288,03.03.2016 03:30:01,-12.14
NXT,2519453267979871478,03.03.2016 03:00:02,-11.75
NXT,2519453285987263553,03.03.2016 02:30:01,-13.26
NXT,2519453303988497038,03.03.2016 02:00:01,-13.53
NXT,2519453321988438434,03.03.2016 01:30:01,-13.85
NXT,2519453339988268915,03.03.2016 01:00:01,-14.06
NXT,2519453357988601684,03.03.2016 00:30:01,-13.82
NXT,2519453375986950205,03.03.2016 00:00:01,-13.82
NXT,2519453393988503691,02.03.2016 23:30:01,-14.52
NXT,2519453411989446399,02.03.2016 23:00:01,-14.04
NXT,2519453429988039453,02.03.2016 22:30:01,-13.50
NXT,2519453447988171255,02.03.2016 22:00:01,-13.79
NXT,2519453465989619101,02.03.2016 21:30:01,-13.62
NXT,2519453483970993651,02.03.2016 21:00:02,-14.10
NXT,2519453501980559529,02.03.2016 20:30:01,-13.85
NXT,2519453519972959088,02.03.2016 20:00:02,-13.78
NXT,2519453537981929154,02.03.2016 19:30:01,-13.83
NXT,2519453555974277878,02.03.2016 19:00:02,-13.25
NXT,2519453573982585022,02.03.2016 18:30:01,-13.00
NXT,2519453591981366174,02.03.2016 18:00:01,-13.54
NXT,2519453609982093356,02.03.2016 17:30:01,-13.92
NXT,2519453627982973949,02.03.2016 17:00:01,-13.73
NXT,2519453645982438414,02.03.2016 16:30:01,-12.95
NXT,2519453663982071235,02.03.2016 16:00:01,-11.96
NXT,2519453681981699028,02.03.2016 15:30:01,-12.90
NXT,2519453699981227108,02.03.2016 15:00:01,-12.50
NXT,2519453717981985591,02.03.2016 14:30:01,-12.59
NXT,2519453735982501820,02.03.2016 14:00:01,-11.98
NXT,2519453753982460188,02.03.2016 13:30:01,-12.13
NXT,2519453771983243867,02.03.2016 13:00:01,-11.32
NXT,2519453789981128095,02.03.2016 12:30:01,-11.46
NXT,2519453807981838089,02.03.2016 12:00:01,-10.67
NXT,2519453825982871923,02.03.2016 11:30:01,-10.42
NXT,2519453843983701510,02.03.2016 11:00:01,-9.20
NXT,2519453861982736204,02.03.2016 10:30:01,-9.31
NXT,2519453879984490169,02.03.2016 10:00:01,-9.49
NXT,2519453897985474697,02.03.2016 09:30:01,-9.74
NXT,2519453915985388562,02.03.2016 09:00:01,-9.65
NXT,2519453933984869792,02.03.2016 08:30:01,-9.67
NXT,2519453951983562746,02.03.2016 08:00:01,-9.59
NXT,2519453969985462277,02.03.2016 07:30:01,-10.00
NXT,2519453987984984739,02.03.2016 07:00:01,-9.85
NXT,2519454005984868005,02.03.2016 06:30:01,-9.81
NXT,2519454023984154550,02.03.2016 06:00:01,-8.74
NXT,2519454041983617771,02.03.2016 05:30:01,-8.78
NXT,2519454059984706051,02.03.2016 05:00:01,-8.83
NXT,2519454077984282834,02.03.2016 04:30:01,-8.36
NXT,2519454095982316607,02.03.2016 04:00:01,-8.59
NXT,2519454113984956528,02.03.2016 03:30:01,-9.18
NXT,2519454131984105514,02.03.2016 03:00:01,-8.30
NXT,2519454149984781686,02.03.2016 02:30:01,-8.32
NXT,2519454167985656421,02.03.2016 02:00:01,-9.26
NXT,2519454185984770507,02.03.2016 01:30:01,-9.08
NXT,2519454203987504941,02.03.2016 01:00:01,-9.44
NXT,2519454221988273363,02.03.2016 00:30:01,-10.00
NXT,2519454239987297144,02.03.2016 00:00:01,-10.04
NXT,2519454257986727649,01.03.2016 23:30:01,-10.55
NXT,2519454275962388674,01.03.2016 23:00:03,-11.03
NXT,2519454293987224504,01.03.2016 22:30:01,-10.47
NXT,2519454311987375651,01.03.2016 22:00:01,-10.46
NXT,2519454329986521532,01.03.2016 21:30:01,-8.51
NXT,2519454347988426240,01.03.2016 21:00:01,-8.04
NXT,2519454365986108444,01.03.2016 20:30:01,-8.22
NXT,2519454383987494852,01.03.2016 20:00:01,-7.71
NXT,2519454401986674541,01.03.2016 19:30:01,-8.02
NXT,2519454419986350585,01.03.2016 19:00:01,-8.27
NXT,2519454437987564559,01.03.2016 18:30:01,-6.94
NXT,2519454455985605228,01.03.2016 18:00:01,-8.80
NXT,2519454473987397660,01.03.2016 17:30:01,-10.73
NXT,2519454491988162737,01.03.2016 17:00:01,-10.49
NXT,2519454509987913065,01.03.2016 16:30:01,-8.79
NXT,2519454527977581356,01.03.2016 16:00:02,-8.47
NXT,2519454545980102887,01.03.2016 15:30:01,-7.80
NXT,2519454563969633935,01.03.2016 15:00:03,-8.74
NXT,2519454581981786508,01.03.2016 14:30:01,-9.18
NXT,2519454599977732014,01.03.2016 14:00:02,-9.22
NXT,2519454617981059574,01.03.2016 13:30:01,-10.13
NXT,2519454635977042104,01.03.2016 13:00:02,-10.82
NXT,2519454653980864834,01.03.2016 12:30:01,-9.60
NXT,2519454671972653189,01.03.2016 12:00:02,-9.35
NXT,2519454689985711370,01.03.2016 11:30:01,-8.35
NXT,2519454707974996043,01.03.2016 11:00:02,-7.99
NXT,2519454725985741032,01.03.2016 10:30:01,-10.18
NXT,2519454743985083764,01.03.2016 10:00:01,-10.69
NXT,2519454761975126394,01.03.2016 09:30:02,-9.83
NXT,2519454779986354765,01.03.2016 09:00:01,-10.59
NXT,2519454797978771337,01.03.2016 08:30:02,-10.68
NXT,2519454815985760998,01.03.2016 08:00:01,-12.66
NXT,2519454833986900222,01.03.2016 07:30:01,-10.97
NXT,2519454851985673478,01.03.2016 07:00:01,-11.48
NXT,2519454869977282258,01.03.2016 06:30:02,-11.67
NXT,2519454887955235892,01.03.2016 06:00:04,-11.25
NXT,2519454905978694180,01.03.2016 05:30:02,-10.79
NXT,2519454923966860802,01.03.2016 05:00:03,-10.13
NXT,2519454941978972747,01.03.2016 04:30:02,-10.96
NXT,2519454959978783881,01.03.2016 04:00:02,-11.13
NXT,2519454977974368255,01.03.2016 03:30:02,-9.55
NXT,2519454995977658669,01.03.2016 03:00:02,-9.38
NXT,2519455013979995349,01.03.2016 02:30:02,-9.05
NXT,2519455031967631371,01.03.2016 02:00:03,-9.16
NXT,2519455049983858851,01.03.2016 01:30:01,-9.64
NXT,2519455067979502693,01.03.2016 01:00:02,-9.65
NXT,2519455085984841030,01.03.2016 00:30:01,-8.71
NXT,2519455103972490493,01.03.2016 00:00:02,-8.90
NXT,2519455121975683373,29.02.2016 23:30:02,-7.06
NXT,2519455139976115741,29.02.2016 23:00:02,-7.88
NXT,2519455157986316657,29.02.2016 22:30:01,-8.00
NXT,2519455175984947906,29.02.2016 22:00:01,-8.06
NXT,2519455193987066080,29.02.2016 21:30:01,-8.24
NXT,2519455211987436537,29.02.2016 21:00:01,-8.21
NXT,2519455229985840126,29.02.2016 20:30:01,-8.54
NXT,2519455247985551617,29.02.2016 20:00:01,-8.98
NXT,2519455265986054277,29.02.2016 19:30:01,-9.01
NXT,2519455283985578826,29.02.2016 19:00:01,-10.57
NXT,2519455301986535312,29.02.2016 18:30:01,-10.52
NXT,2519455319984462365,29.02.2016 18:00:01,-9.39
NXT,2519455337984600807,29.02.2016 17:30:01,-9.45
NXT,2519455355986343126,29.02.2016 17:00:01,-10.57
NXT,2519455373984687707,29.02.2016 16:30:01,-12.68
NXT,2519455391985087635,29.02.2016 16:00:01,-12.88
NXT,2519455409985032614,29.02.2016 15:30:01,-6.21
NXT,2519455427967351354,29.02.2016 15:00:03,-7.11
NXT,2519455445981334689,29.02.2016 14:30:01,-7.16
NXT,2519455463973018783,29.02.2016 14:00:02,-6.50
NXT,2519455481980337542,29.02.2016 13:30:01,-6.52
NXT,2519455499973238970,29.02.2016 13:00:02,-7.24
NXT,2519455517982524896,29.02.2016 12:30:01,-7.28
NXT,2519455535974128816,29.02.2016 12:00:02,-6.80
NXT,2519455553983433206,29.02.2016 11:30:01,-7.21
NXT,2519455571973072533,29.02.2016 11:00:02,-7.45
NXT,2519455589980446284,29.02.2016 10:30:01,-6.73
NXT,2519455607972709868,29.02.2016 10:00:02,-6.58
NXT,2519455625981475613,29.02.2016 09:30:01,-9.28
NXT,2519455643974194886,29.02.2016 09:00:02,-7.17
NXT,2519455661981325677,29.02.2016 08:30:01,-8.37
NXT,2519455679977558602,29.02.2016 08:00:02,-8.37
NXT,2519455697981814298,29.02.2016 07:30:01,-8.66
NXT,2519455715975651841,29.02.2016 07:00:02,-9.74
NXT,2519455733984628313,29.02.2016 06:30:01,-9.08
NXT,2519455751975903061,29.02.2016 06:00:02,-8.58
NXT,2519455769982247361,29.02.2016 05:30:01,-8.93
NXT,2519455787977271577,29.02.2016 05:00:02,-9.25
NXT,2519455805981551886,29.02.2016 04:30:01,-9.23
